,From,To,Booking_date,Journey_date,Airline,Code,Departure,Arrival,Duration,Stops,Price
62,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-951,14:20,16:30,2h 10m,non-stop,"₹8,578"
63,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-5306,15:25,17:35,2h 10m,non-stop,"₹8,579"
64,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-933,15:30,17:40,2h 10m,non-stop,"₹8,578"
65,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-864,16:15,18:25,2h 10m,non-stop,"₹8,579"
66,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-941,16:45,19:05,2h 20m,non-stop,"₹8,578"
67,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-323,18:50,21:05,2h 15m,non-stop,"₹8,579"
68,Delhi,Mumbai,2022-06-23,2022-06-24,SpiceJet,SG-8709,19:00,21:10,2h 10m,non-stop,"₹8,579"
69,Delhi,Mumbai,2022-06-23,2022-06-24,SpiceJet,SG-8169,19:45,22:00,2h 15m,non-stop,"₹8,579"
70,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-346,20:45,22:55,2h 10m,non-stop,"₹8,579"
71,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-328,20:55,23:25,2h 30m,non-stop,"₹8,579"
72,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-605,21:15,23:35,2h 20m,non-stop,"₹8,580"
73,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2114,21:45,"00:10
+1D",2h 25m,non-stop,"₹8,579"
74,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-354,22:45,"01:00
+1D",2h 15m,non-stop,"₹8,579"
75,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2519,23:35,"01:40
+1D",2h 5m,non-stop,"₹8,579"
76,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-865,10:00,12:35,2h 35m,non-stop,"₹8,580"
77,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-636,15:00,18:15,3h 15m,1 stop,"₹8,580"
78,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-719,05:55,10:20,4h 25m,1 stop,"₹8,579"
79,Delhi,Mumbai,2022-06-23,2022-06-24,SpiceJet,SG-2962,06:15,10:55,4h 40m,1 stop,"₹8,579"
80,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-190,05:20,10:45,5h 25m,1 stop,"₹8,579"
81,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-190,05:20,11:30,6h 10m,1 stop,"₹8,579"
82,Delhi,Mumbai,2022-06-23,2022-06-24,SpiceJet,SG-8373,09:50,16:10,6h 20m,1 stop,"₹8,579"
83,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-717,13:35,19:40,6h 5m,1 stop,"₹8,579"
84,Delhi,Mumbai,2022-06-23,2022-06-24,SpiceJet,SG-8963,09:25,16:10,6h 45m,1 stop,"₹8,579"
85,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-406,10:30,17:50,7h 20m,1 stop,"₹8,579"
86,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-963,08:50,11:10,2h 20m,non-stop,"₹8,895"
87,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-624,19:00,21:15,2h 15m,non-stop,"₹8,790"
88,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-805,20:00,22:10,2h 10m,non-stop,"₹8,790"
89,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-441,17:55,22:10,4h 15m,1 stop,"₹8,790"
90,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-5318,17:00,19:05,2h 5m,non-stop,"₹9,209"
91,Delhi,Mumbai,2022-06-23,2022-06-24,Air Asia,I5-744,07:25,14:05,6h 40m,1 stop,"₹9,107"
92,Delhi,Mumbai,2022-06-23,2022-06-24,Air Asia,I5-1732,21:40,"07:15
+1D",9h 35m,1 stop,"₹9,107"
93,Delhi,Mumbai,2022-06-23,2022-06-24,Air Asia,I5-721,21:00,"07:15
+1D",10h 15m,1 stop,"₹9,107"
94,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-959,06:30,"06:15
+1D",23h 45m,1 stop,"₹9,031"
95,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-969,18:10,"06:15
+1D",12h 5m,1 stop,"₹9,451"
96,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-969,18:10,"09:40
+1D",15h 30m,1 stop,"₹9,451"
97,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-943,07:30,09:45,2h 15m,non-stop,"₹9,840"
98,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-863,14:00,16:15,2h 15m,non-stop,"₹9,840"
99,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-6261,19:45,21:55,2h 10m,non-stop,"₹9,839"
100,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-929,21:20,"06:15
+1D",8h 55m,1 stop,"₹9,976"
101,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-929,21:20,"09:40
+1D",12h 20m,1 stop,"₹9,976"
102,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-929,21:20,"23:05
+1D",25h 45m,1 stop,"₹9,976"
103,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-953,20:40,22:50,2h 10m,non-stop,"₹10,365"
104,Delhi,Mumbai,2022-06-23,2022-06-24,Air Asia,I5-552,10:40,19:15,8h 35m,1 stop,"₹10,232"
105,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2017,18:10,20:25,2h 15m,non-stop,"₹10,679"
106,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-981,21:30,23:30,2h 0m,non-stop,"₹10,890"
107,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-7403,07:20,12:05,4h 45m,1 stop,"₹11,152"
108,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-497,05:15,09:20,4h 5m,1 stop,"₹11,625"
109,Delhi,Mumbai,2022-06-23,2022-06-24,Air Asia,I5-798,12:50,19:15,6h 25m,1 stop,"₹11,431"
110,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-985,19:45,21:55,2h 10m,non-stop,"₹11,730"
111,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-761,18:45,"00:05
+1D",5h 20m,1 stop,"₹12,202"
112,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2033,00:15,05:30,5h 15m,1 stop,"₹12,622"
113,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2077,05:20,10:35,5h 15m,1 stop,"₹12,622"
114,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2141,13:35,18:45,5h 10m,1 stop,"₹12,622"
115,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-153,19:35,"00:20
+1D",4h 45m,1 stop,"₹12,622"
116,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-6022,11:15,16:55,5h 40m,1 stop,"₹12,622"
117,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-913,05:55,15:50,9h 55m,1 stop,"₹12,670"
118,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-469,05:20,16:25,11h 5m,2 stops,"₹12,740"
119,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-935,18:00,"15:50
+1D",21h 50m,1 stop,"₹12,670"
120,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-6373,06:30,11:20,4h 50m,1 stop,"₹12,832"
121,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-955,17:45,20:05,2h 20m,non-stop,"₹13,410"
122,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2168,17:50,22:10,4h 20m,1 stop,"₹13,567"
123,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-969,18:10,23:05,4h 55m,1 stop,"₹13,546"
124,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-959,06:30,23:05,16h 35m,1 stop,"₹13,546"
